feature,mean_abs_shap
age,0.39824855
ventilated_apache,0.28303593
gcs_verbal_apache,0.16699152
gcs_motor_apache,0.16251543
apache_3j_diagnosis,0.16101286
d1_bun_min,0.14820758
d1_bun_max,0.14276794
d1_spo2_min,0.14167349
d1_heartrate_max,0.13876544
d1_lactate_min,0.13275172
d1_sysbp_min,0.11785857
gcs_eyes_apache,0.10115145
pre_icu_los_days,0.0887396
elective_surgery,0.08794843
bmi,0.08652046
d1_heartrate_min,0.08645021
d1_wbc_min,0.08633407
urineoutput_apache,0.08384203
d1_pao2fio2ratio_min,0.07853078
d1_temp_min,0.076891854
